,season,seed,team,name,wins,losses,Wins/Losses,2pts_Made/Attempt,3pts_Made/Attempt,FT_Made/Attempt,Rebounds/Game,Assists/Game,Turnovers/Game,Steals/Game,Blocks/Game,PersonalFoul/Game,Winner,,Wins,Losses,,,,,,,,Standard Deviation,,2 Standard Deviations
1,2015,W01,1437,Villanova,32,2,0.941176471,0.469721768,0.388818297,0.727155727,31.67647059,15.38235294,9.794117647,7.794117647,4.029411765,16.52941176,Y,,32,32,,,,,,,Wins/Losses,0.107455051,,0.214910102
2,2015,W02,1438,Virginia,29,3,0.90625,0.462895377,0.360801782,0.722912966,33.15625,11.9375,8.28125,5.59375,4.28125,14.25,Y,,,,,,,,,,2ptsM/A,0.024476372,,0.048952744
3,2015,W03,1328,Oklahoma,22,10,0.6875,0.436499466,0.343402226,0.735294118,35.46875,9.09375,7.65625,6.90625,5.03125,16.40625,Y,,Wins/Losses,,,,Assists,,,,3ptsM/A,0.026459285,,0.052918571
4,2015,W04,1257,Louisville,24,8,0.75,0.428571429,0.304201681,0.660084626,37.09375,9.375,9.21875,8.3125,5.5,17.71875,Y,,Average,0.72661451,,,Average,10.5567529,,,FTM/A,0.031912099,,0.063824198
5,2015,W05,1320,Northern Iowa,30,3,0.909090909,0.482600131,0.397372742,0.72593801,27.90909091,11.06060606,9.090909091,5.939393939,2.484848485,14.36363636,Y,,above avg,below avg,,,above avg,below avg,,,Rebounds,2.644139368,,5.288278736
6,2015,W06,1344,Providence,22,11,0.666666667,0.441530055,0.309615385,0.709592641,32.6969697,10.21212121,7.606060606,7.212121212,4.666666667,18.36363636,N,,28,36,,,28,36,,,Assists,2.196287885,,4.39257577
7,2015,W07,1277,Michigan St,23,11,0.676470588,0.47123431,0.38612368,0.632786885,36.70588235,12.52941176,7.647058824,5.323529412,4.558823529,18.52941176,Y,,,,,,,,,,Turnovers,1.163496127,,2.326992255
8,2015,W08,1301,NC State,20,13,0.606060606,0.437333333,0.361386139,0.683357879,35.27272727,7.424242424,6.121212121,3.96969697,5.303030303,17.57575758,Y,,For Above Avg,,For Below Avg,,For Above Avg,,For Below Avg,,Steals,1.253046164,,2.506092329
9,2015,W09,1261,LSU,22,10,0.6875,0.456361725,0.338858195,0.688679245,36,11.5625,10,7.34375,6.1875,15.8125,N,,How many were wins,,How many were wins,,How many were wins,,How many were wins,,Blocks,1.155349502,,2.310699005
10,2015,W10,1208,Georgia,21,11,0.65625,0.435146444,0.34351145,0.68875,35.75,8.78125,8.0625,5.625,4.65625,18.34375,N,,18,,14,,18,,14,,PersonalFouls,1.944321762,,3.888643523
12,2015,W11b,1173,Dayton,25,8,0.757575758,0.462962963,0.352066116,0.681875792,28.27272727,10.78787879,8.121212121,6.96969697,2.545454545,15.90909091,Y,,,,,,,,,,,,,
13,2015,W12,1461,Wyoming,23,9,0.71875,0.456949153,0.322525597,0.709090909,26.3125,10.96875,7.46875,5.53125,2.875,13.875,N,,For Above Avg,,For Below Avg,,For Above Avg,,For Below Avg,,,,,
14,2015,W13,1414,UC Irvine,19,12,0.612903226,0.44825547,0.382524272,0.683206107,31.70967742,9.322580645,6.580645161,5.612903226,4.709677419,17.22580645,N,,How many were losses,,How many were losses,,How many were losses,,How many were losses,,,,,
15,2015,W14,1107,Albany NY,24,8,0.75,0.439875389,0.360146252,0.7609375,30.3125,8.21875,8.25,5.65625,1.625,16.5,N,,10,,22,,10,,22,,,,,
16,2015,W15,1125,Belmont,21,10,0.677419355,0.474183976,0.378712871,0.69009009,30.25806452,10.80645161,8.935483871,6.35483871,1.967741935,16.41935484,N,,,,,,,,,,,,,
17,2015,W16,1248,Lafayette,19,12,0.612903226,0.489260143,0.414141414,0.764932563,26.4516129,10,5.935483871,5.451612903,2.580645161,15.80645161,N,,2pts_Made/Attempt,,,,Turnovers,,,,,,,
18,2015,X01,1181,Duke,29,4,0.878787879,0.50212766,0.385802469,0.691390728,35.48484848,14.12121212,9.666666667,7.181818182,3.757575758,16,Y,,Average,0.455163754,,,Average,8.095296708,,,,,,
19,2015,X02,1211,Gonzaga,31,2,0.939393939,0.518952062,0.407986111,0.689458689,34.18181818,15.48484848,9.727272727,6.060606061,3.272727273,17.15151515,Y,,above avg,below avg,,,above avg,below avg,,,,,,
20,2015,X03,1235,Iowa St,25,8,0.757575758,0.480083857,0.365576102,0.696078431,33.18181818,12.87878788,8.242424242,6.333333333,3.757575758,15.51515152,N,,29,35,,,29,35,,,,,,
21,2015,X04,1207,Georgetown,21,10,0.677419355,0.454545455,0.347408829,0.701923077,33.58064516,9.64516129,7.806451613,7.709677419,4.903225806,20.16129032,Y,,,,,,,,,,,,,
22,2015,X05,1428,Utah,23,8,0.741935484,0.479974571,0.401680672,0.701780415,31.93548387,11.29032258,7.580645161,5.806451613,5.096774194,16.96774194,Y,,For Above Avg,,For Below Avg,,For Above Avg,,For Below Avg,,,,,
23,2015,X06,1374,SMU,26,6,0.8125,0.482568807,0.36,0.704576976,34.3125,13.0625,9.3125,6.78125,4.03125,16.28125,N,,How many were wins,,How many were wins,,How many were  wins,,How many were wins,,,,,
24,2015,X07,1234,Iowa,21,11,0.65625,0.426801802,0.332110092,0.745376956,35.1875,10.34375,7.375,6.59375,4.6875,15.875,Y,,17,,15,,18,,14,,,,,
