ScndMade,TriMade,FTMade,Rebounds,Assists,Turnovers,Steals,Blocks,PersFoul,Winner
0.4077,0.3041,0.6521,35.0303,5.7273,7.1212,6.6667,4.0909,21.5455,N
0.428,0.3315,0.7393,32.7273,8.1212,6.8182,6.5758,5.2424,17.8788,N
0.4346,0.3462,0.7308,27.6667,6.8667,6.2667,7.7667,5,19.2333,N
0.4461,0.3802,0.7141,29.0303,8.0606,7.5758,8.5455,2.9394,18.5455,N
0.4348,0.3398,0.6943,29.3438,8.7188,8.1875,8.0938,2.7813,22.9063,N
0.4373,0.3614,0.6834,35.2727,7.4242,6.1212,3.9697,5.303,17.5758,N
0.4406,0.3635,0.6757,34.8485,10.2727,6.7576,6.8182,3.7273,17.8788,N
0.4658,0.4031,0.7147,32.8182,9.303,6.7879,5.0606,3.1818,17.5455,N
0.4359,0.3394,0.7253,37.7273,8.3939,7.5152,3.7576,7.8788,16.1515,N
0.4483,0.3825,0.6832,31.7097,9.3226,6.5806,5.6129,4.7097,17.2258,N
0.4893,0.4141,0.7649,26.4516,10,5.9355,5.4516,2.5806,15.8065,N
0.473,0.3485,0.7251,32.6471,10.4706,7.2941,6.0882,2.8529,18,N
0.4257,0.3382,0.7784,34.6875,8.5313,6.3438,6.5938,3.6875,19.5625,N
0.4534,0.3345,0.6848,33.4242,10,8.0303,5.4545,5.3333,18.8788,N
0.44,0.3506,0.6906,30.8387,8.5806,6.6452,7.4839,6.5806,17.5484,N
0.4556,0.3797,0.7278,30.129,8.871,7.3548,6.0968,3.9355,16.5806,N
0.4438,0.3203,0.6619,29.7647,7.5588,7.6176,6.1471,3.1176,17.3529,N
0.4351,0.3435,0.6888,35.75,8.7813,8.0625,5.625,4.6563,18.3438,N
0.4268,0.3321,0.7454,35.1875,10.3438,7.375,6.5938,4.6875,15.875,N
0.4415,0.3096,0.7096,32.697,10.2121,7.6061,7.2121,4.6667,18.3636,N
0.4712,0.3861,0.6328,36.7059,12.5294,7.6471,5.3235,4.5588,18.5294,N
0.4856,0.3883,0.7255,30.6765,10.2941,9.0294,5.3235,3.7941,14.2353,N
0.4742,0.3787,0.6901,30.2581,10.8065,8.9355,6.3548,1.9677,16.4194,N
0.4545,0.3474,0.7019,33.5806,9.6452,7.8065,7.7097,4.9032,20.1613,N
0.4638,0.3643,0.7072,32.7419,8.3548,8.7742,6.3226,3.6452,16.129,N
0.4751,0.345,0.6997,37.6571,12.9714,8.3429,6.6571,4.4,19.2571,N
0.4365,0.3434,0.7353,35.4688,9.0938,7.6563,6.9063,5.0313,16.4063,N
0.4564,0.3389,0.6887,36,11.5625,10,7.3438,6.1875,15.8125,N
0.4387,0.358,0.6797,33.6875,8.8438,7.7188,6.375,2.9375,17.5625,N
0.4529,0.3333,0.6739,32,8.7813,8.3438,6.5625,5.4375,14.6563,N
0.4382,0.354,0.7035,35.069,8.2069,7.6897,6.3103,3.3103,16.8276,N
0.4857,0.3719,0.6784,33.2121,11.9697,8.1212,7.7879,5.0909,16.0303,N
0.4255,0.3789,0.694,31.3333,6.8667,6.9,4.5333,3.7,15.2,N
0.4569,0.3225,0.7091,26.3125,10.9688,7.4688,5.5313,2.875,13.875,N
0.4116,0.3184,0.6604,34.6875,11.125,8.5938,10.9375,2.8438,23.375,N
0.435,0.3404,0.7217,35.1563,10.4375,7.875,7.625,4.0313,18.25,N
0.434,0.3823,0.6667,36.9063,11.5938,8.5938,8.0938,3.8438,16.6875,N
0.4603,0.3845,0.77,34,12.7813,8.4063,7.125,2.875,20.5,N
0.4749,0.3185,0.7325,28.9688,9.9688,7.0313,8.9063,4.2188,18.4375,N
0.4587,0.3671,0.7674,32.2424,10.5455,8.4848,5.6364,4.2424,18.5152,N
0.4274,0.3415,0.7132,32.7407,10.2222,7.6296,6.6667,4.5185,15.8519,Y
0.4534,0.3913,0.7279,30.0645,9.3226,7.3226,5.9677,2.3226,17.2258,Y
0.48,0.4017,0.7018,31.9355,11.2903,7.5806,5.8065,5.0968,16.9677,Y
0.4682,0.3962,0.7138,31.6452,10.2903,8.0968,6.2903,4.6129,18.0968,Y
0.42,0.3418,0.6555,33.0571,10.4571,7.8,9.6571,4.3143,19.2286,Y
0.4286,0.3042,0.6601,37.0938,9.375,9.2188,8.3125,5.5,17.7188,Y
0.4399,0.3601,0.7609,30.3125,8.2188,8.25,5.6563,1.625,16.5,Y
0.463,0.3521,0.6819,28.2727,10.7879,8.1212,6.9697,2.5455,15.9091,Y
0.4801,0.3656,0.6961,33.1818,12.8788,8.2424,6.3333,3.7576,15.5152,Y
0.4181,0.3208,0.6297,32.2121,8.6061,8.3636,6.6667,4.9697,14.4848,Y
0.4398,0.375,0.7201,35.4412,11.0294,9.3235,6.5294,5.0294,17.6176,Y
0.4474,0.3503,0.7242,33.2941,12.8529,8.4706,7.7647,4.7647,18.9412,Y
0.4699,0.3927,0.7019,31.6333,13.6667,7.1,5.4333,2.8667,18.7,Y
0.4826,0.36,0.7046,34.3125,13.0625,9.3125,6.7813,4.0313,16.2813,Y
0.4543,0.3713,0.6898,29.1875,11.125,8.0625,6.4063,2.5625,17.0313,Y
0.4377,0.3725,0.757,31.8485,9.1212,9.9091,4.8485,4.2121,16.5152,Y
0.4507,0.3813,0.6871,32.7667,10.7667,9.9,5.6333,4.3333,16.6,Y
0.51,0.3925,0.7398,30.6176,13.5,7.8235,6.8824,3.5588,14.2059,Y
0.4927,0.3813,0.7318,31.6667,15.8333,11.7667,7.2333,3.3667,21.6667,Y
0.4435,0.3591,0.6912,32.0968,12.2903,7.8065,7.0645,3.7742,16.5806,Y
0.5021,0.3858,0.6914,35.4848,14.1212,9.6667,7.1818,3.7576,16,Y
0.4629,0.3608,0.7229,33.1563,11.9375,8.2813,5.5938,4.2813,14.25,Y
0.4826,0.3974,0.7259,27.9091,11.0606,9.0909,5.9394,2.4848,14.3636,Y
0.4796,0.3575,0.7633,31.6471,11.8824,6.6471,4.5294,3.5,12.0294,Y
0.4895,0.3598,0.6991,35.2059,13.1471,10.1765,7.1765,3.5882,17.8824,Y
0.519,0.408,0.6895,34.1818,15.4848,9.7273,6.0606,3.2727,17.1515,Y
0.4697,0.3888,0.7272,31.6765,15.3824,9.7941,7.7941,4.0294,16.5294,Y
0.4687,0.3497,0.7224,35.4412,14.7059,10.4706,6.5588,6.8824,17.0294,Y
